artist_id,name,genre,home_region,debut,archetype,career_weeks,highlight
A01,Nova Reyes,Pop,North America,2021-03-01,breakout,279,True
A02,The Meridian,Rock,Europe,2018-09-03,steady_star,409,True
A03,Kaito Sol,Electronic,Asia,2020-01-06,slow_burn,339,True
A04,Luma Vale,R&B,North America,2022-06-06,late_bloomer,213,True
A05,Rio Bravo,Latin,Latin America,2019-05-06,breakout,374,True
A06,Echo Park Twins,Indie,North America,2020-10-05,one_hit,300,True
A07,Selene Frost,Pop,Europe,2019-02-04,declining,387,True
A08,Basslake,Electronic,Europe,2021-08-02,slow_burn,257,True
A09,Marla Quinn,Country,North America,2020-04-06,steady_star,326,True
A10,Zephyr Kane,Hip-Hop,North America,2022-01-03,breakout,235,True
A11,Amara Diop,Afrobeats,Africa,2021-11-01,late_bloomer,244,True
A12,Glass Harbor,Indie,Oceania,2018-04-02,declining,431,True
P0001,Pool Artist 0001,Rock,Latin America,2023-08-01,slow_burn,152,False
P0002,Pool Artist 0002,Rock,Asia,2021-08-01,declining,257,False
P0003,Pool Artist 0003,Metal,Europe,2018-02-01,steady_star,439,False
P0004,Pool Artist 0004,Afrobeats,Africa,2019-06-01,late_bloomer,370,False
P0005,Pool Artist 0005,Latin,Asia,2019-02-01,breakout,387,False
P0006,Pool Artist 0006,Country,Oceania,2023-06-01,breakout,161,False
P0007,Pool Artist 0007,Electronic,Oceania,2016-10-01,slow_burn,509,False
P0008,Pool Artist 0008,Pop,Oceania,2023-01-01,declining,183,False
P0009,Pool Artist 0009,Country,Latin America,2024-08-01,one_hit,100,False
P0010,Pool Artist 0010,Country,North America,2022-12-01,slow_burn,187,False
P0011,Pool Artist 0011,Indie,Europe,2018-02-01,late_bloomer,439,False
P0012,Pool Artist 0012,Pop,Africa,2023-12-01,late_bloomer,135,False
P0013,Pool Artist 0013,Pop,Asia,2020-01-01,breakout,339,False
P0014,Pool Artist 0014,Jazz,Africa,2023-02-01,one_hit,178,False
P0015,Pool Artist 0015,Jazz,Middle East,2023-06-01,slow_burn,161,False
P0016,Pool Artist 0016,Afrobeats,Latin America,2022-05-01,breakout,218,False
P0017,Pool Artist 0017,Jazz,Asia,2023-02-01,late_bloomer,178,False
P0018,Pool Artist 0018,Hip-Hop,North America,2016-04-01,late_bloomer,535,False
P0019,Pool Artist 0019,R&B,Asia,2018-10-01,slow_burn,405,False
P0020,Pool Artist 0020,Hip-Hop,Europe,2018-08-01,one_hit,413,False
P0021,Pool Artist 0021,Pop,Europe,2021-10-01,steady_star,248,False
P0022,Pool Artist 0022,Jazz,Europe,2022-12-01,breakout,187,False
P0023,Pool Artist 0023,Hip-Hop,Africa,2022-12-01,slow_burn,187,False
P0024,Pool Artist 0024,Pop,Middle East,2015-10-01,slow_burn,561,False
P0025,Pool Artist 0025,Rock,Middle East,2017-01-01,slow_burn,496,False
P0026,Pool Artist 0026,Hip-Hop,North America,2020-04-01,declining,326,False
P0027,Pool Artist 0027,Electronic,Africa,2019-02-01,late_bloomer,387,False
P0028,Pool Artist 0028,Country,Africa,2016-05-01,declining,531,False
P0029,Pool Artist 0029,Afrobeats,Middle East,2021-09-01,one_hit,252,False
